Tempo Decorrido,Taxa Media Chegada,Taxa Saída,E[N],E[W],Lambda, Erro de Little,Ocupacao
100.000000,5.00,5.26,4.483424,0.873962,5.130000, 0.000000,0.879309
200.000000,5.00,5.26,8.250539,1.619340,5.095000, -0.000000,0.878236
300.000000,5.00,5.26,19.450700,3.784183,5.140000, -0.000000,0.919358
400.000000,5.00,5.26,20.566159,4.018790,5.117500, -0.000000,0.925812
500.000000,5.00,5.26,18.695701,3.686061,5.072000, -0.000000,0.930089
600.000000,5.00,5.26,19.244396,3.774645,5.098333, -0.000000,0.939846
700.000000,5.00,5.26,22.288102,4.367769,5.102857, 0.000000,0.948307
800.000000,5.00,5.26,23.521621,4.604183,5.108750, 0.000000,0.954726
900.000000,5.00,5.26,22.948867,4.471526,5.132222, 0.000000,0.958165
1000.000000,5.00,5.26,21.607728,4.233489,5.104000, -0.000000,0.959442
1100.000000,5.00,5.26,20.317134,3.975956,5.110000, -0.000000,0.956902
1200.000000,5.00,5.26,19.908181,3.905479,5.097500, 0.000000,0.960299
1300.000000,5.00,5.26,19.044020,3.744287,5.086154, 0.000000,0.959947
1400.000000,5.00,5.26,19.968261,3.915345,5.100000, 0.000000,0.962569
1500.000000,5.00,5.26,20.711474,4.061604,5.099333, -0.000000,0.964979
1600.000000,5.00,5.26,23.703373,4.639192,5.109375, -0.000000,0.967185
1700.000000,5.00,5.26,24.342480,4.771384,5.101765, -0.000000,0.968816
1800.000000,5.00,5.26,23.432269,4.593562,5.101111, -0.000000,0.965966
1900.000000,5.00,5.26,23.248236,4.558948,5.099474, -0.000000,0.967667
2000.000000,5.00,5.26,22.788755,4.486417,5.079500, -0.000000,0.965593
2100.000000,5.00,5.26,22.641689,4.463301,5.072857, -0.000000,0.966304
2200.000000,5.00,5.26,21.956457,4.331827,5.068636, -0.000000,0.963814
2300.000000,5.00,5.26,21.439473,4.215318,5.086087, -0.000000,0.963627
2400.000000,5.00,5.26,20.927595,4.111512,5.090000, -0.000000,0.963578
2500.000000,5.00,5.26,20.581730,4.050565,5.081200, -0.000000,0.963836
2600.000000,5.00,5.26,20.790845,4.098893,5.072308, -0.000000,0.965270
2700.000000,5.00,5.26,20.740979,4.080193,5.083333, -0.000000,0.965910
2800.000000,5.00,5.26,20.402755,4.015444,5.081071, -0.000000,0.965811
2900.000000,5.00,5.26,19.906696,3.925302,5.071379, -0.000000,0.963245
3000.000000,5.00,5.26,19.418053,3.838571,5.058667, -0.000000,0.960587
3100.000000,5.00,5.26,19.119031,3.775817,5.063548, -0.000000,0.959793
3200.000000,5.00,5.26,19.129908,3.784354,5.055000, -0.000000,0.960598
3300.000000,5.00,5.26,18.722178,3.711371,5.044545, -0.000000,0.957686
3400.000000,5.00,5.26,18.314317,3.637189,5.035294, -0.000000,0.953972
3500.000000,5.00,5.26,17.907856,3.559806,5.030571, -0.000000,0.950581
3600.000000,5.00,5.26,18.161564,3.603882,5.039444, -0.000000,0.951663
3700.000000,5.00,5.26,18.553037,3.680566,5.040811, -0.000000,0.952979
3800.000000,5.00,5.26,19.083692,3.786645,5.039737, -0.000000,0.954172
3900.000000,5.00,5.26,19.363032,3.833485,5.051026, -0.000000,0.954714
4000.000000,5.00,5.26,20.517182,4.058188,5.055750, -0.000000,0.955758
