Tempo Decorrido,Taxa Media Chegada,Taxa Saída,E[N],E[W],Lambda, Erro de Little,Ocupacao
100.000000,5.00,5.05,13.076624,2.476633,5.280000, -0.000000,0.950421
200.000000,5.00,5.05,28.363558,5.650111,5.020000, 0.000000,0.973554
300.000000,5.00,5.05,42.555884,8.404717,5.063333, -0.000000,0.982980
400.000000,5.00,5.05,47.518205,9.503641,5.000000, -0.000000,0.987074
500.000000,5.00,5.05,46.011121,9.386194,4.902000, 0.000000,0.988777
600.000000,5.00,5.05,40.550323,8.247523,4.916667, 0.000000,0.982085
700.000000,5.00,5.05,36.082364,7.363748,4.900000, 0.000000,0.971027
800.000000,5.00,5.05,33.180576,6.672816,4.972500, -0.000000,0.972820
900.000000,5.00,5.05,31.257586,6.287847,4.971111, -0.000000,0.975528
1000.000000,5.00,5.05,30.271524,6.082283,4.977000, -0.000000,0.977975
1100.000000,5.00,5.05,30.392962,6.123124,4.963636, -0.000000,0.980445
1200.000000,5.00,5.05,31.119951,6.284743,4.951667, -0.000000,0.981566
1300.000000,5.00,5.05,30.080879,6.087351,4.941538, -0.000000,0.982161
1400.000000,5.00,5.05,31.264499,6.292452,4.968571, -0.000000,0.983422
1500.000000,5.00,5.05,33.052748,6.643323,4.975333, -0.000000,0.984537
1600.000000,5.00,5.05,32.196607,6.476562,4.971250, -0.000000,0.983402
1700.000000,5.00,5.05,30.987161,6.230417,4.973529, -0.000000,0.981357
1800.000000,5.00,5.05,31.166443,6.245085,4.990556, 0.000000,0.982820
1900.000000,5.00,5.05,33.791963,6.756970,5.001053, -0.000000,0.983381
2000.000000,5.00,5.05,38.308723,7.657916,5.002500, -0.000000,0.984146
2100.000000,5.00,5.05,41.918593,8.367780,5.009524, -0.000000,0.985038
2200.000000,5.00,5.05,44.284256,8.825561,5.017727, -0.000000,0.985633
2300.000000,5.00,5.05,45.387325,9.058560,5.010435, -0.000000,0.986219
2400.000000,5.00,5.05,46.583486,9.303517,5.007083, 0.000000,0.986998
2500.000000,5.00,5.05,47.722054,9.521559,5.012000, 0.000000,0.987335
2600.000000,5.00,5.05,47.967019,9.594142,4.999615, 0.000000,0.987829
2700.000000,5.00,5.05,47.273468,9.444200,5.005556, -0.000000,0.987554
2800.000000,5.00,5.05,46.122933,9.232500,4.995714, 0.000000,0.987276
2900.000000,5.00,5.05,45.234670,9.050679,4.997931, -0.000000,0.987789
3000.000000,5.00,5.05,44.566449,8.909726,5.002000, -0.000000,0.987750
3100.000000,5.00,5.05,44.996447,8.999289,5.000000, -0.000000,0.988204
3200.000000,5.00,5.05,45.456648,9.108408,4.990625, -0.000000,0.988497
3300.000000,5.00,5.05,45.726193,9.160228,4.991818, -0.000000,0.989052
3400.000000,5.00,5.05,45.838146,9.182754,4.991765, -0.000000,0.989258
3500.000000,5.00,5.05,46.235525,9.255038,4.995714, -0.000000,0.989610
3600.000000,5.00,5.05,46.932796,9.393866,4.996111, -0.000000,0.990065
3700.000000,5.00,5.05,47.670580,9.534116,5.000000, -0.000000,0.990263
3800.000000,5.00,5.05,48.435163,9.691113,4.997895, -0.000000,0.990324
3900.000000,5.00,5.05,48.838924,9.769288,4.999231, -0.000000,0.990570
4000.000000,5.00,5.05,49.608921,9.912863,5.004500, -0.000000,0.990844
4100.000000,5.00,5.05,50.298580,10.026945,5.016341, -0.000000,0.991045
4200.000000,5.00,5.05,51.330888,10.232071,5.016667, -0.000000,0.991271
4300.000000,5.00,5.05,52.007390,10.373013,5.013721, -0.000000,0.991528
4400.000000,5.00,5.05,52.089987,10.387778,5.014545, -0.000000,0.991670
4500.000000,5.00,5.05,52.265970,10.405560,5.022889, -0.000000,0.991833
4600.000000,5.00,5.05,52.733385,10.488307,5.027826, -0.000000,0.992011
4700.000000,5.00,5.05,53.484890,10.657974,5.018298, -0.000000,0.992248
4800.000000,5.00,5.05,53.885087,10.755954,5.009792, -0.000000,0.992389
4900.000000,5.00,5.05,54.524246,10.873781,5.014286, -0.000000,0.992530
5000.000000,5.00,5.05,55.733255,11.108881,5.017000, -0.000000,0.992675
5100.000000,5.00,5.05,57.543148,11.461436,5.020588, -0.000000,0.992810
5200.000000,5.00,5.05,59.414134,11.841382,5.017500, -0.000000,0.992996
5300.000000,5.00,5.05,60.693351,12.101225,5.015472, -0.000000,0.993196
5400.000000,5.00,5.05,61.738718,12.290388,5.023333, -0.000000,0.993200
5500.000000,5.00,5.05,62.497781,12.431297,5.027455, -0.000000,0.993314
5600.000000,5.00,5.05,63.302134,12.592070,5.027143, -0.000000,0.993475
5700.000000,5.00,5.05,63.984057,12.711178,5.033684, -0.000000,0.993556
5800.000000,5.00,5.05,64.683202,12.853756,5.032241, -0.000000,0.993655
5900.000000,5.00,5.05,64.395111,12.814731,5.025085, -0.000000,0.993762
6000.000000,5.00,5.05,63.853749,12.696686,5.029167, -0.000000,0.993825
6100.000000,5.00,5.05,63.170028,12.567665,5.026393, -0.000000,0.993975
6200.000000,5.00,5.05,62.671447,12.468328,5.026452, -0.000000,0.994030
6300.000000,5.00,5.05,61.801336,12.297025,5.025714, -0.000000,0.993445
6400.000000,5.00,5.05,61.135963,12.161445,5.027031, -0.000000,0.993404
6500.000000,5.00,5.05,60.307460,12.006815,5.022769, -0.000000,0.992480
6600.000000,5.00,5.05,59.597218,11.870164,5.020758, -0.000000,0.991463
6700.000000,5.00,5.05,58.807338,11.726114,5.015075, -0.000000,0.990362
6800.000000,5.00,5.05,58.027751,11.572534,5.014265, -0.000000,0.989172
6900.000000,5.00,5.05,57.801886,11.523968,5.015797, -0.000000,0.989319
7000.000000,5.00,5.05,57.409677,11.457711,5.010571, -0.000000,0.989372
7100.000000,5.00,5.05,56.738992,11.336302,5.005070, -0.000000,0.988313
7200.000000,5.00,5.05,56.312963,11.255402,5.003194, -0.000000,0.987242
7300.000000,5.00,5.05,56.108282,11.221349,5.000137, -0.000000,0.987401
7400.000000,5.00,5.05,55.474757,11.088658,5.002838, -0.000000,0.987080
7500.000000,5.00,5.05,54.976632,10.988879,5.002933, -0.000000,0.986888
7600.000000,5.00,5.05,54.416322,10.870963,5.005658, -0.000000,0.986592
7700.000000,5.00,5.05,53.835535,10.763193,5.001818, -0.000000,0.985764
7800.000000,5.00,5.05,53.436660,10.685688,5.000769, -0.000000,0.985880
7900.000000,5.00,5.05,53.132231,10.623488,5.001392, -0.000000,0.986021
8000.000000,5.00,5.05,53.387717,10.666610,5.005125, -0.000000,0.986192
8100.000000,5.00,5.05,53.345491,10.663306,5.002716, -0.000000,0.986437
8200.000000,5.00,5.05,52.977594,10.591386,5.001951, -0.000000,0.986510
8300.000000,5.00,5.05,52.980883,10.580879,5.007229, -0.000000,0.986674
8400.000000,5.00,5.05,53.004154,10.584199,5.007857, -0.000000,0.986880
8500.000000,5.00,5.05,52.923605,10.567068,5.008353, -0.000000,0.987032
8600.000000,5.00,5.05,52.911469,10.565831,5.007791, -0.000000,0.987155
8700.000000,5.00,5.05,53.175567,10.609748,5.011954, -0.000000,0.987319
8800.000000,5.00,5.05,53.601200,10.695203,5.011705, -0.000000,0.987442
8900.000000,5.00,5.05,54.010547,10.786838,5.007079, -0.000000,0.987573
9000.000000,5.00,5.05,54.259536,10.840104,5.005444, -0.000000,0.987727
9100.000000,5.00,5.05,54.559682,10.898523,5.006154, -0.000000,0.987931
9200.000000,5.00,5.05,54.478103,10.885682,5.004565, -0.000000,0.987978
9300.000000,5.00,5.05,54.459792,10.879792,5.005591, -0.000000,0.988131
9400.000000,5.00,5.05,54.556549,10.897398,5.006383, -0.000000,0.988234
9500.000000,5.00,5.05,54.673008,10.912776,5.010000, -0.000000,0.988380
9600.000000,5.00,5.05,55.128695,11.001901,5.010833, -0.000000,0.988487
9700.000000,5.00,5.05,55.584037,11.081393,5.015979, -0.000000,0.988622
9800.000000,5.00,5.05,56.409669,11.248876,5.014694, -0.000000,0.988718
9900.000000,5.00,5.05,56.758547,11.327681,5.010606, -0.000000,0.988839
10000.000000,5.00,5.05,56.521679,11.285827,5.008200, -0.000000,0.988952
10100.000000,5.00,5.05,56.149046,11.212713,5.007624, -0.000000,0.989076
10200.000000,5.00,5.05,55.855906,11.151720,5.008725, -0.000000,0.989173
10300.000000,5.00,5.05,55.714383,11.126457,5.007379, -0.000000,0.989260
10400.000000,5.00,5.05,55.451700,11.078409,5.005385, -0.000000,0.989359
10500.000000,5.00,5.05,55.148650,11.019865,5.004476, -0.000000,0.989452
10600.000000,5.00,5.05,54.875554,10.969729,5.002453, -0.000000,0.989485
10700.000000,5.00,5.05,54.560119,10.908965,5.001402, -0.000000,0.989594
10800.000000,5.00,5.05,54.191251,10.841061,4.998704, -0.000000,0.989168
10900.000000,5.00,5.05,53.930135,10.783059,5.001376, -0.000000,0.989186
11000.000000,5.00,5.05,53.795580,10.760485,4.999364, -0.000000,0.989033
11100.000000,5.00,5.05,53.444220,10.696167,4.996577, -0.000000,0.988976
11200.000000,5.00,5.05,53.056452,10.618116,4.996786, -0.000000,0.988725
11300.000000,5.00,5.05,52.857944,10.576830,4.997522, -0.000000,0.988862
11400.000000,5.00,5.05,52.697549,10.550430,4.994825, -0.000000,0.988903
11500.000000,5.00,5.05,52.503920,10.512119,4.994609, -0.000000,0.988994
11600.000000,5.00,5.05,52.308361,10.474494,4.993879, -0.000000,0.988976
11700.000000,5.00,5.05,52.336955,10.482443,4.992821, 0.000000,0.989058
11800.000000,5.00,5.05,52.287365,10.479854,4.989322, -0.000000,0.989166
11900.000000,5.00,5.05,51.923429,10.413037,4.986387, -0.000000,0.988675
12000.000000,5.00,5.05,51.804441,10.383559,4.989083, -0.000000,0.988668
12100.000000,5.00,5.05,51.926706,10.404603,4.990744, -0.000000,0.988783
12200.000000,5.00,5.05,52.106866,10.441572,4.990328, -0.000000,0.988855
12300.000000,5.00,5.05,52.201567,10.461406,4.989919, -0.000000,0.988953
12400.000000,5.00,5.05,52.148930,10.451701,4.989516, -0.000000,0.989032
12500.000000,5.00,5.05,51.802215,10.387534,4.986960, -0.000000,0.988804
12600.000000,5.00,5.05,51.450623,10.320266,4.985397, -0.000000,0.988183
12700.000000,5.00,5.05,51.140251,10.251783,4.988425, -0.000000,0.988060
12800.000000,5.00,5.05,51.298221,10.285358,4.987500, -0.000000,0.988152
12900.000000,5.00,5.05,51.549062,10.339629,4.985581, 0.000000,0.988242
13000.000000,5.00,5.05,51.706964,10.369630,4.986385, 0.000000,0.988363
13100.000000,5.00,5.05,51.946687,10.418445,4.986031, -0.000000,0.988418
13200.000000,5.00,5.05,51.925261,10.412662,4.986742, -0.000000,0.988503
13300.000000,5.00,5.05,51.686204,10.365297,4.986466, -0.000000,0.988323
13400.000000,5.00,5.05,51.349813,10.304567,4.983209, 0.000000,0.987237
13500.000000,5.00,5.05,51.090307,10.252236,4.983333, 0.000000,0.986990
13600.000000,5.00,5.05,50.800727,10.194326,4.983235, 0.000000,0.986771
13700.000000,5.00,5.05,50.957538,10.220303,4.985912, -0.000000,0.986841
13800.000000,5.00,5.05,51.362421,10.299951,4.986667, -0.000000,0.986934
13900.000000,5.00,5.05,51.786493,10.383893,4.987194, -0.000000,0.987058
14000.000000,5.00,5.05,52.121316,10.446051,4.989571, -0.000000,0.987132
14100.000000,5.00,5.05,52.686547,10.553027,4.992553, -0.000000,0.987206
14200.000000,5.00,5.05,53.358367,10.684917,4.993803, -0.000000,0.987299
14300.000000,5.00,5.05,54.069922,10.828827,4.993147, -0.000000,0.987393
14400.000000,5.00,5.05,54.616515,10.935910,4.994236, -0.000000,0.987477
14500.000000,5.00,5.05,55.441618,11.101492,4.994069, -0.000000,0.987559
14600.000000,5.00,5.05,56.236073,11.259245,4.994658, -0.000000,0.987645
14700.000000,5.00,5.05,57.172351,11.446306,4.994830, -0.000000,0.987744
14800.000000,5.00,5.05,58.071720,11.624398,4.995676, -0.000000,0.987814
14900.000000,5.00,5.05,59.006205,11.814562,4.994362, -0.000000,0.987902
15000.000000,5.00,5.05,59.885153,11.992061,4.993733, -0.000000,0.987977
15100.000000,5.00,5.05,60.809062,12.176489,4.993974, -0.000000,0.988058
15200.000000,5.00,5.05,61.738851,12.366972,4.992237, -0.000000,0.988147
15300.000000,5.00,5.05,62.682669,12.557381,4.991699, -0.000000,0.988214
15400.000000,5.00,5.05,63.586094,12.736903,4.992273, -0.000000,0.988300
15500.000000,5.00,5.05,64.339592,12.889206,4.991742, -0.000000,0.988379
15600.000000,5.00,5.05,65.129582,13.054201,4.989167, -0.000000,0.988442
15700.000000,5.00,5.05,65.515234,13.133161,4.988535, -0.000000,0.988535
15800.000000,5.00,5.05,65.545228,13.139983,4.988228, -0.000000,0.988597
15900.000000,5.00,5.05,65.478313,13.127035,4.988050, -0.000000,0.988677
16000.000000,5.00,5.05,65.363474,13.104637,4.987813, -0.000000,0.988741
16100.000000,5.00,5.05,65.184143,13.068160,4.988012, -0.000000,0.988797
16200.000000,5.00,5.05,65.054829,13.036234,4.990309, -0.000000,0.988887
16300.000000,5.00,5.05,65.239914,13.068989,4.991963, -0.000000,0.988935
16400.000000,5.00,5.05,65.286226,13.073667,4.993720, -0.000000,0.989002
16500.000000,5.00,5.05,65.268679,13.069736,4.993879, -0.000000,0.989071
16600.000000,5.00,5.05,65.441190,13.103236,4.994277, -0.000000,0.989135
