Tempo Decorrido,E[N]
100.000000,13.61
200.000000,25.10
300.000000,31.93
400.000000,29.85
500.000000,26.54
600.000000,24.74
700.000000,27.46
800.000000,30.08
900.000000,35.47
1000.000000,37.85
1100.000000,39.03
1200.000000,36.85
1300.000000,35.05
1400.000000,33.38
1500.000000,33.13
1600.000000,32.77
1700.000000,32.11
1800.000000,31.09
1900.000000,31.53
2000.000000,30.52
2100.000000,29.72
2200.000000,29.19
2300.000000,28.30
2400.000000,27.42
2500.000000,26.72
2600.000000,26.46
2700.000000,26.79
2800.000000,26.30
2900.000000,25.69
3000.000000,25.17
3100.000000,24.60
3200.000000,24.08
3300.000000,23.69
3400.000000,23.83
3500.000000,24.20
3600.000000,25.24
3700.000000,25.47
3800.000000,26.21
3900.000000,27.04
4000.000000,27.38
4100.000000,27.16
4200.000000,27.51
4300.000000,27.13
4400.000000,27.07
4500.000000,27.17
4600.000000,27.03
4700.000000,27.21
4800.000000,27.99
4900.000000,28.28
5000.000000,28.77
5100.000000,28.48
5200.000000,28.27
5300.000000,28.51
5400.000000,29.07
5500.000000,29.68
5600.000000,29.57
5700.000000,29.13
5800.000000,29.09
5900.000000,29.03
6000.000000,30.22
6100.000000,31.94
6200.000000,34.18
6300.000000,36.65
6400.000000,39.38
6500.000000,41.86
6600.000000,43.91
6700.000000,45.79
6800.000000,47.34
6900.000000,48.38
7000.000000,49.65
7100.000000,50.76
7200.000000,51.50
7300.000000,52.15
7400.000000,52.28
7500.000000,52.49
7600.000000,52.99
7700.000000,53.48
7800.000000,54.04
7900.000000,53.95
8000.000000,53.41
8100.000000,52.83
8200.000000,52.31
8300.000000,51.96
8400.000000,51.86
8500.000000,51.73
8600.000000,51.55
8700.000000,51.13
8800.000000,51.02
8900.000000,51.11
9000.000000,51.15
9100.000000,51.11
9200.000000,51.08
9300.000000,50.94
9400.000000,51.11
9500.000000,51.46
9600.000000,51.70
9700.000000,52.10
9800.000000,51.95
9900.000000,51.77
10000.000000,51.75
10100.000000,51.60
10200.000000,51.31
10300.000000,51.05
10400.000000,50.73
10500.000000,50.67
10600.000000,50.70
10700.000000,50.73
10800.000000,50.67
10900.000000,50.54
11000.000000,50.25
11100.000000,50.40
11200.000000,50.54
11300.000000,50.90
11400.000000,51.33
11500.000000,51.76
11600.000000,52.19
11700.000000,52.41
11800.000000,52.07
11900.000000,51.83
12000.000000,51.68
12100.000000,51.62
12200.000000,51.98
12300.000000,52.45
12400.000000,53.06
12500.000000,53.25
12600.000000,52.99
12700.000000,52.69
12800.000000,52.37
12900.000000,52.30
13000.000000,52.42
13100.000000,52.67
13200.000000,53.00
13300.000000,53.23
13400.000000,53.48
13500.000000,53.56
13600.000000,53.45
13700.000000,53.36
13800.000000,53.11
13900.000000,52.94
14000.000000,53.12
14100.000000,53.43
14200.000000,53.80
14300.000000,54.23
14400.000000,54.57
14500.000000,54.98
14600.000000,55.22
14700.000000,55.58
14800.000000,55.77
14900.000000,55.67
15000.000000,55.43
15100.000000,55.10
15200.000000,54.77
15300.000000,54.62
15400.000000,54.48
15500.000000,54.40
15600.000000,54.56
15700.000000,54.80
15800.000000,55.17
15900.000000,55.20
16000.000000,55.22
16100.000000,55.03
16200.000000,54.80
16300.000000,54.50
16400.000000,54.23
16500.000000,54.01
16600.000000,53.80
16700.000000,53.71
16800.000000,53.70
16900.000000,53.70
17000.000000,53.57
17100.000000,53.32
17200.000000,53.04
17300.000000,52.83
17400.000000,52.63
17500.000000,52.36
17600.000000,52.13
17700.000000,51.96
17800.000000,51.80
17900.000000,51.94
18000.000000,51.88
18100.000000,51.61
18200.000000,51.40
18300.000000,51.17
18400.000000,50.95
18500.000000,50.87
18600.000000,50.71
18700.000000,50.55
18800.000000,50.32
18900.000000,50.12
19000.000000,49.94
19100.000000,49.73
19200.000000,49.56
19300.000000,49.36
19400.000000,49.24
19500.000000,49.05
19600.000000,48.89
19700.000000,48.80
19800.000000,48.80
19900.000000,48.64
20000.000000,48.47
20100.000000,48.37
20200.000000,48.27
20300.000000,48.17
20400.000000,48.02
20500.000000,48.00
20600.000000,48.02
20700.000000,48.09
20800.000000,48.30
20900.000000,48.48
21000.000000,48.64
21100.000000,48.90
21200.000000,49.12
21300.000000,49.28
21400.000000,49.49
21500.000000,49.86
21600.000000,50.04
21700.000000,50.14
21800.000000,50.20
21900.000000,50.01
22000.000000,49.85
22100.000000,49.75
22200.000000,49.70
22300.000000,49.76
22400.000000,49.86
22500.000000,49.92
22600.000000,50.01
22700.000000,49.98
22800.000000,49.99
22900.000000,49.92
23000.000000,49.75
23100.000000,49.59
23200.000000,49.43
23300.000000,49.41
23400.000000,49.46
23500.000000,49.38
23600.000000,49.32
23700.000000,49.31
23800.000000,49.21
23900.000000,49.03
24000.000000,48.85
24100.000000,48.69
24200.000000,48.59
24300.000000,48.63
24400.000000,48.75
24500.000000,48.75
24600.000000,48.82
24700.000000,49.07
24800.000000,49.33
24900.000000,49.61
25000.000000,49.75
25100.000000,49.77
25200.000000,49.91
25300.000000,49.95
25400.000000,49.89
25500.000000,49.84
25600.000000,49.70
25700.000000,49.55
25800.000000,49.39
25900.000000,49.27
26000.000000,49.17
26100.000000,49.06
26200.000000,49.02
26300.000000,48.99
26400.000000,48.92
26500.000000,48.92
26600.000000,48.84
26700.000000,48.76
26800.000000,48.61
26900.000000,48.46
27000.000000,48.43
27100.000000,48.34
27200.000000,48.22
27300.000000,48.32
27400.000000,48.35
27500.000000,48.25
27600.000000,48.16
27700.000000,48.06
27800.000000,47.91
27900.000000,47.77
28000.000000,47.76
28100.000000,47.76
28200.000000,47.83
28300.000000,48.01
28400.000000,48.07
28500.000000,48.04
28600.000000,47.89
28700.000000,47.78
28800.000000,47.71
28900.000000,47.68
29000.000000,47.80
29100.000000,47.82
29200.000000,47.71
29300.000000,47.69
29400.000000,47.70
29500.000000,47.61
29600.000000,47.61
29700.000000,47.57
29800.000000,47.47
29900.000000,47.37
30000.000000,47.47
30100.000000,47.60
30200.000000,47.81
30300.000000,48.07
30400.000000,48.25
30500.000000,48.37
30600.000000,48.46
30700.000000,48.45
30800.000000,48.33
30900.000000,48.19
31000.000000,48.10
31100.000000,47.98
31200.000000,47.89
31300.000000,47.92
31400.000000,48.01
31500.000000,48.08
31600.000000,48.22
31700.000000,48.38
31800.000000,48.46
31900.000000,48.51
32000.000000,48.49
32100.000000,48.39
32200.000000,48.28
32300.000000,48.28
32400.000000,48.36
32500.000000,48.42
32600.000000,48.37
32700.000000,48.28
32800.000000,48.24
32900.000000,48.37
33000.000000,48.51
33100.000000,48.64
33200.000000,48.80
33300.000000,48.85
33400.000000,48.92
33500.000000,49.05
33600.000000,49.33
33700.000000,49.73
33800.000000,49.92
33900.000000,50.00
34000.000000,50.05
34100.000000,50.14
34200.000000,50.26
34300.000000,50.60
34400.000000,50.97
34500.000000,51.27
34600.000000,51.62
34700.000000,52.07
34800.000000,52.54
34900.000000,52.96
35000.000000,53.35
35100.000000,53.65
35200.000000,53.96
35300.000000,54.26
35400.000000,54.49
35500.000000,54.71
35600.000000,54.91
35700.000000,55.01
35800.000000,55.11
35900.000000,55.22
36000.000000,55.46
36100.000000,55.68
36200.000000,55.92
36300.000000,56.21
36400.000000,56.58
36500.000000,57.02
36600.000000,57.52
36700.000000,58.05
36800.000000,58.49
36900.000000,58.84
37000.000000,59.14
37100.000000,59.35
37200.000000,59.56
37300.000000,59.77
37400.000000,60.02
37500.000000,60.30
37600.000000,60.59
37700.000000,60.94
37800.000000,61.41
37900.000000,61.95
38000.000000,62.51
38100.000000,62.99
38200.000000,63.48
38300.000000,64.11
38400.000000,64.74
38500.000000,65.50
38600.000000,66.29
38700.000000,67.02
38800.000000,67.66
38900.000000,68.32
39000.000000,69.04
39100.000000,69.77
39200.000000,70.50
39300.000000,71.27
39400.000000,72.10
39500.000000,72.82
39600.000000,73.55
39700.000000,74.35
39800.000000,75.06
39900.000000,75.79
40000.000000,76.50
40100.000000,77.20
40200.000000,77.81
40300.000000,78.48
40400.000000,79.19
40500.000000,79.92
40600.000000,80.71
40700.000000,81.53
40800.000000,82.28
40900.000000,82.89
41000.000000,83.55
41100.000000,84.10
41200.000000,84.59
41300.000000,85.05
41400.000000,85.52
41500.000000,86.01
41600.000000,86.50
41700.000000,87.10
41800.000000,87.76
41900.000000,88.45
42000.000000,89.05
42100.000000,89.59
42200.000000,90.14
42300.000000,90.68
42400.000000,91.09
42500.000000,91.40
42600.000000,91.72
42700.000000,92.03
42800.000000,92.19
42900.000000,92.33
43000.000000,92.42
43100.000000,92.42
43200.000000,92.41
43300.000000,92.32
43400.000000,92.32
43500.000000,92.38
43600.000000,92.47
43700.000000,92.56
43800.000000,92.64
43900.000000,92.70
44000.000000,92.71
44100.000000,92.64
44200.000000,92.57
44300.000000,92.39
44400.000000,92.21
44500.000000,92.03
44600.000000,91.90
44700.000000,91.82
44800.000000,91.69
44900.000000,91.54
45000.000000,91.41
45100.000000,91.29
45200.000000,91.24
45300.000000,91.19
45400.000000,91.08
45500.000000,90.89
45600.000000,90.79
45700.000000,90.71
45800.000000,90.63
45900.000000,90.55
46000.000000,90.40
46100.000000,90.22
46200.000000,90.06
46300.000000,89.88
46400.000000,89.70
46500.000000,89.56
46600.000000,89.45
46700.000000,89.29
46800.000000,89.16
46900.000000,89.09
47000.000000,89.00
47100.000000,88.83
47200.000000,88.68
47300.000000,88.52
47400.000000,88.36
47500.000000,88.25
47600.000000,88.19
47700.000000,88.13
47800.000000,88.01
47900.000000,87.91
48000.000000,87.80
48100.000000,87.64
48200.000000,87.52
48300.000000,87.37
48400.000000,87.23
48500.000000,87.09
48600.000000,86.97
48700.000000,86.88
48800.000000,86.83
48900.000000,86.74
49000.000000,86.64
49100.000000,86.54
49200.000000,86.43
49300.000000,86.28
49400.000000,86.12
49500.000000,85.99
49600.000000,85.96
49700.000000,86.04
49800.000000,86.21
49900.000000,86.43
50000.000000,86.61
50100.000000,86.76
50200.000000,86.93
50300.000000,87.05
50400.000000,87.20
50500.000000,87.32
50600.000000,87.46
50700.000000,87.63
50800.000000,87.85
50900.000000,88.04
51000.000000,88.26
51100.000000,88.50
51200.000000,88.80
51300.000000,89.15
51400.000000,89.37
51500.000000,89.57
51600.000000,89.72
51700.000000,89.89
51800.000000,90.01
51900.000000,90.16
52000.000000,90.33
52100.000000,90.60
52200.000000,90.86
52300.000000,91.09
52400.000000,91.32
52500.000000,91.62
52600.000000,92.02
52700.000000,92.41
52800.000000,92.81
52900.000000,93.27
53000.000000,93.72
53100.000000,94.08
53200.000000,94.50
53300.000000,94.91
53400.000000,95.29
53500.000000,95.50
53600.000000,95.64
53700.000000,95.72
53800.000000,95.82
53900.000000,95.97
54000.000000,96.12
54100.000000,96.27
54200.000000,96.52
54300.000000,96.83
54400.000000,97.17
54500.000000,97.51
54600.000000,97.72
54700.000000,97.87
54800.000000,98.04
54900.000000,98.17
