Tempo Decorrido,E[W]
100.000000,1.69
200.000000,2.04
300.000000,1.97
400.000000,2.12
500.000000,1.87
600.000000,1.88
700.000000,1.78
800.000000,1.69
900.000000,1.63
1000.000000,1.58
1100.000000,1.55
1200.000000,1.65
1300.000000,1.80
1400.000000,2.05
1500.000000,2.05
1600.000000,2.15
1700.000000,2.27
1800.000000,2.18
1900.000000,2.12
2000.000000,2.09
2100.000000,2.03
2200.000000,1.99
2300.000000,1.98
2400.000000,1.98
2500.000000,1.94
2600.000000,1.90
2700.000000,1.93
2800.000000,1.96
2900.000000,1.96
3000.000000,1.97
3100.000000,1.95
3200.000000,1.92
3300.000000,1.89
3400.000000,1.90
3500.000000,1.87
3600.000000,1.88
3700.000000,1.86
3800.000000,1.89
3900.000000,2.00
4000.000000,1.99
4100.000000,1.98
4200.000000,1.97
4300.000000,1.97
4400.000000,1.95
4500.000000,1.93
4600.000000,1.93
4700.000000,1.94
4800.000000,1.93
4900.000000,1.93
5000.000000,1.92
5100.000000,1.93
5200.000000,1.92
5300.000000,1.95
5400.000000,1.94
5500.000000,1.92
5600.000000,1.90
5700.000000,1.88
5800.000000,1.90
5900.000000,1.88
6000.000000,1.87
6100.000000,1.87
6200.000000,1.85
6300.000000,1.84
6400.000000,1.83
6500.000000,1.82
6600.000000,1.81
6700.000000,1.84
6800.000000,1.84
6900.000000,1.88
7000.000000,1.90
7100.000000,1.91
7200.000000,1.89
7300.000000,1.89
7400.000000,1.89
7500.000000,1.87
7600.000000,1.86
7700.000000,1.87
7800.000000,1.86
7900.000000,1.85
8000.000000,1.84
8100.000000,1.88
8200.000000,1.89
8300.000000,1.88
8400.000000,1.88
8500.000000,1.86
8600.000000,1.86
8700.000000,1.85
8800.000000,1.84
8900.000000,1.83
9000.000000,1.83
9100.000000,1.82
9200.000000,1.82
9300.000000,1.84
9400.000000,1.83
9500.000000,1.82
9600.000000,1.82
9700.000000,1.82
9800.000000,1.81
9900.000000,1.81
10000.000000,1.82
10100.000000,1.82
10200.000000,1.82
10300.000000,1.81
10400.000000,1.80
10500.000000,1.81
10600.000000,1.81
10700.000000,1.80
10800.000000,1.80
10900.000000,1.85
11000.000000,1.86
11100.000000,1.87
11200.000000,1.88
11300.000000,1.87
11400.000000,1.87
11500.000000,1.87
11600.000000,1.87
11700.000000,1.86
11800.000000,1.85
11900.000000,1.85
12000.000000,1.85
12100.000000,1.85
12200.000000,1.85
12300.000000,1.85
12400.000000,1.84
12500.000000,1.84
12600.000000,1.84
12700.000000,1.83
12800.000000,1.83
12900.000000,1.82
13000.000000,1.81
13100.000000,1.81
13200.000000,1.81
13300.000000,1.80
13400.000000,1.80
13500.000000,1.80
13600.000000,1.79
13700.000000,1.81
13800.000000,1.80
13900.000000,1.80
14000.000000,1.80
14100.000000,1.80
14200.000000,1.79
14300.000000,1.79
14400.000000,1.79
14500.000000,1.80
14600.000000,1.80
14700.000000,1.79
14800.000000,1.79
14900.000000,1.79
15000.000000,1.79
15100.000000,1.79
15200.000000,1.78
15300.000000,1.78
15400.000000,1.78
15500.000000,1.77
15600.000000,1.79
15700.000000,1.81
15800.000000,1.81
15900.000000,1.80
16000.000000,1.80
16100.000000,1.81
16200.000000,1.80
16300.000000,1.80
16400.000000,1.80
16500.000000,1.81
16600.000000,1.80
