Tempo Decorrido,Lambda
100.000000,5.13
200.000000,5.25
300.000000,5.13
400.000000,5.04
500.000000,5.00
600.000000,5.00
700.000000,5.02
800.000000,5.05
900.000000,5.05
1000.000000,4.99
1100.000000,4.98
1200.000000,4.97
1300.000000,4.99
1400.000000,5.00
1500.000000,5.01
1600.000000,5.01
1700.000000,5.01
1800.000000,5.04
1900.000000,5.04
2000.000000,5.03
2100.000000,5.03
2200.000000,5.02
2300.000000,5.01
2400.000000,5.01
2500.000000,5.00
2600.000000,5.01
2700.000000,5.01
2800.000000,5.01
2900.000000,5.01
3000.000000,4.99
3100.000000,4.99
3200.000000,4.98
3300.000000,4.98
3400.000000,4.98
3500.000000,4.99
3600.000000,4.99
3700.000000,5.00
3800.000000,5.00
3900.000000,5.00
4000.000000,5.00
4100.000000,4.99
4200.000000,4.99
4300.000000,4.99
4400.000000,4.99
4500.000000,4.99
4600.000000,4.99
4700.000000,5.00
4800.000000,5.00
4900.000000,5.00
5000.000000,5.00
5100.000000,4.99
5200.000000,4.99
5300.000000,5.00
5400.000000,5.00
5500.000000,5.00
5600.000000,4.99
5700.000000,4.98
5800.000000,4.98
5900.000000,4.99
6000.000000,5.00
6100.000000,5.00
6200.000000,5.01
6300.000000,5.01
6400.000000,5.01
6500.000000,5.01
6600.000000,5.01
6700.000000,5.01
6800.000000,5.00
6900.000000,5.00
7000.000000,5.00
7100.000000,5.00
7200.000000,5.00
7300.000000,5.00
7400.000000,5.00
7500.000000,5.00
7600.000000,5.00
7700.000000,5.00
7800.000000,5.00
7900.000000,5.00
8000.000000,5.00
8100.000000,5.00
8200.000000,5.00
8300.000000,5.00
8400.000000,5.00
8500.000000,5.00
8600.000000,5.00
8700.000000,5.00
8800.000000,5.00
8900.000000,5.00
9000.000000,5.00
9100.000000,5.00
9200.000000,5.00
9300.000000,5.00
9400.000000,5.00
9500.000000,5.00
9600.000000,5.00
9700.000000,5.00
9800.000000,5.00
9900.000000,5.00
10000.000000,5.00
10100.000000,5.00
10200.000000,5.00
10300.000000,5.00
10400.000000,5.00
10500.000000,5.00
10600.000000,5.00
10700.000000,5.00
10800.000000,5.00
10900.000000,5.00
11000.000000,5.00
11100.000000,5.00
11200.000000,5.00
11300.000000,5.00
11400.000000,5.00
11500.000000,5.00
11600.000000,5.00
11700.000000,5.00
11800.000000,4.99
11900.000000,4.99
12000.000000,4.99
12100.000000,5.00
12200.000000,5.00
12300.000000,5.00
12400.000000,5.00
12500.000000,5.00
12600.000000,5.00
12700.000000,5.00
12800.000000,5.00
12900.000000,5.00
13000.000000,5.00
13100.000000,5.00
13200.000000,5.00
13300.000000,5.00
13400.000000,5.00
13500.000000,5.00
13600.000000,5.00
13700.000000,5.00
