Tempo Decorrido,Lambda
100.000000,5.37
200.000000,5.21
300.000000,5.22
400.000000,5.12
500.000000,5.03
600.000000,5.03
700.000000,5.03
800.000000,5.01
900.000000,5.01
1000.000000,5.00
1100.000000,4.95
1200.000000,4.93
1300.000000,4.95
1400.000000,4.93
1500.000000,4.94
1600.000000,4.95
1700.000000,4.93
1800.000000,4.95
1900.000000,4.96
2000.000000,4.97
2100.000000,4.97
2200.000000,4.95
2300.000000,4.96
2400.000000,4.96
2500.000000,4.95
2600.000000,4.95
2700.000000,4.95
2800.000000,4.96
2900.000000,4.95
3000.000000,4.95
3100.000000,4.94
3200.000000,4.95
3300.000000,4.95
3400.000000,4.96
3500.000000,4.96
3600.000000,4.97
3700.000000,4.96
3800.000000,4.95
3900.000000,4.95
4000.000000,4.95
4100.000000,4.95
4200.000000,4.95
4300.000000,4.95
4400.000000,4.96
4500.000000,4.96
4600.000000,4.96
4700.000000,4.98
4800.000000,4.97
4900.000000,4.97
5000.000000,4.98
5100.000000,4.98
5200.000000,4.98
5300.000000,4.98
5400.000000,4.98
5500.000000,4.98
5600.000000,4.98
5700.000000,4.99
5800.000000,4.99
5900.000000,4.99
6000.000000,4.99
6100.000000,4.99
6200.000000,4.99
6300.000000,4.99
6400.000000,4.99
6500.000000,4.99
6600.000000,5.00
6700.000000,5.00
6800.000000,5.00
6900.000000,5.00
7000.000000,5.00
7100.000000,5.00
7200.000000,4.99
7300.000000,4.99
7400.000000,4.99
7500.000000,5.00
7600.000000,5.00
7700.000000,5.00
7800.000000,5.00
7900.000000,5.00
8000.000000,5.00
8100.000000,5.00
8200.000000,5.00
8300.000000,4.99
8400.000000,4.99
8500.000000,4.99
8600.000000,4.99
8700.000000,4.99
8800.000000,4.99
8900.000000,4.99
9000.000000,4.98
9100.000000,4.98
9200.000000,4.98
9300.000000,4.98
9400.000000,4.98
9500.000000,4.98
9600.000000,4.98
9700.000000,4.98
9800.000000,4.98
9900.000000,4.98
10000.000000,4.98
10100.000000,4.98
10200.000000,4.98
10300.000000,4.98
10400.000000,4.99
10500.000000,4.98
10600.000000,4.98
10700.000000,4.98
10800.000000,4.98
10900.000000,4.98
11000.000000,4.98
11100.000000,4.98
11200.000000,4.98
11300.000000,4.98
11400.000000,4.99
11500.000000,4.98
11600.000000,4.98
11700.000000,4.98
11800.000000,4.98
11900.000000,4.98
12000.000000,4.98
12100.000000,4.98
12200.000000,4.98
12300.000000,4.98
12400.000000,4.98
12500.000000,4.98
12600.000000,4.98
12700.000000,4.98
12800.000000,4.98
12900.000000,4.98
13000.000000,4.98
13100.000000,4.98
13200.000000,4.98
13300.000000,4.98
13400.000000,4.97
13500.000000,4.97
13600.000000,4.98
13700.000000,4.98
13800.000000,4.97
13900.000000,4.98
14000.000000,4.97
14100.000000,4.97
14200.000000,4.97
14300.000000,4.97
14400.000000,4.97
14500.000000,4.97
14600.000000,4.97
14700.000000,4.98
14800.000000,4.97
14900.000000,4.97
15000.000000,4.97
15100.000000,4.97
15200.000000,4.97
15300.000000,4.98
15400.000000,4.98
15500.000000,4.98
15600.000000,4.98
15700.000000,4.98
15800.000000,4.98
15900.000000,4.98
16000.000000,4.98
16100.000000,4.98
16200.000000,4.98
16300.000000,4.98
16400.000000,4.98
16500.000000,4.98
16600.000000,4.98
16700.000000,4.98
16800.000000,4.98
16900.000000,4.98
17000.000000,4.98
17100.000000,4.98
17200.000000,4.98
17300.000000,4.98
17400.000000,4.98
17500.000000,4.98
17600.000000,4.98
17700.000000,4.98
17800.000000,4.98
17900.000000,4.98
18000.000000,4.98
18100.000000,4.98
18200.000000,4.98
18300.000000,4.98
18400.000000,4.98
18500.000000,4.98
18600.000000,4.98
18700.000000,4.98
18800.000000,4.98
18900.000000,4.98
19000.000000,4.98
19100.000000,4.98
19200.000000,4.98
19300.000000,4.98
19400.000000,4.98
19500.000000,4.98
19600.000000,4.98
19700.000000,4.98
19800.000000,4.98
19900.000000,4.98
20000.000000,4.98
20100.000000,4.98
20200.000000,4.98
20300.000000,4.98
20400.000000,4.98
20500.000000,4.98
20600.000000,4.98
20700.000000,4.98
20800.000000,4.98
20900.000000,4.98
21000.000000,4.98
21100.000000,4.98
21200.000000,4.98
21300.000000,4.98
21400.000000,4.98
21500.000000,4.98
21600.000000,4.98
21700.000000,4.98
21800.000000,4.98
21900.000000,4.98
22000.000000,4.98
22100.000000,4.98
22200.000000,4.98
22300.000000,4.98
22400.000000,4.98
22500.000000,4.98
22600.000000,4.98
22700.000000,4.98
22800.000000,4.98
22900.000000,4.98
23000.000000,4.98
23100.000000,4.98
23200.000000,4.98
23300.000000,4.98
23400.000000,4.98
23500.000000,4.98
23600.000000,4.98
23700.000000,4.98
23800.000000,4.98
23900.000000,4.98
24000.000000,4.98
24100.000000,4.98
24200.000000,4.98
24300.000000,4.98
24400.000000,4.98
24500.000000,4.98
24600.000000,4.98
24700.000000,4.98
24800.000000,4.98
24900.000000,4.98
25000.000000,4.98
25100.000000,4.98
25200.000000,4.98
25300.000000,4.98
25400.000000,4.98
25500.000000,4.98
25600.000000,4.98
25700.000000,4.98
25800.000000,4.98
25900.000000,4.98
26000.000000,4.98
26100.000000,4.98
26200.000000,4.98
26300.000000,4.98
26400.000000,4.98
26500.000000,4.98
26600.000000,4.98
26700.000000,4.98
26800.000000,4.98
26900.000000,4.98
27000.000000,4.98
27100.000000,4.98
27200.000000,4.98
27300.000000,4.98
27400.000000,4.98
27500.000000,4.98
27600.000000,4.98
27700.000000,4.98
27800.000000,4.98
27900.000000,4.98
28000.000000,4.98
28100.000000,4.98
28200.000000,4.98
28300.000000,4.98
28400.000000,4.98
28500.000000,4.98
28600.000000,4.98
28700.000000,4.98
28800.000000,4.98
28900.000000,4.98
29000.000000,4.98
29100.000000,4.98
29200.000000,4.98
29300.000000,4.98
29400.000000,4.98
29500.000000,4.98
29600.000000,4.99
29700.000000,4.98
29800.000000,4.98
29900.000000,4.98
30000.000000,4.99
30100.000000,4.99
30200.000000,4.98
30300.000000,4.99
30400.000000,4.99
30500.000000,4.99
30600.000000,4.98
30700.000000,4.98
30800.000000,4.99
30900.000000,4.99
31000.000000,4.99
31100.000000,4.99
31200.000000,4.99
31300.000000,4.99
31400.000000,4.99
31500.000000,4.99
31600.000000,4.99
31700.000000,4.99
31800.000000,4.99
31900.000000,4.99
32000.000000,4.99
32100.000000,4.99
32200.000000,4.99
32300.000000,4.99
32400.000000,4.99
32500.000000,4.99
32600.000000,4.99
32700.000000,4.99
32800.000000,4.99
32900.000000,4.99
33000.000000,4.99
33100.000000,4.99
33200.000000,4.99
33300.000000,4.99
33400.000000,4.99
33500.000000,4.99
33600.000000,4.99
33700.000000,4.99
33800.000000,4.99
33900.000000,4.99
34000.000000,4.99
34100.000000,4.99
34200.000000,4.99
34300.000000,4.99
34400.000000,4.99
34500.000000,4.99
34600.000000,4.99
34700.000000,4.99
34800.000000,4.99
34900.000000,4.99
35000.000000,4.99
35100.000000,4.99
35200.000000,4.99
35300.000000,4.99
35400.000000,4.99
35500.000000,4.99
35600.000000,4.99
35700.000000,4.99
35800.000000,4.99
35900.000000,4.99
36000.000000,4.99
36100.000000,4.99
36200.000000,4.99
36300.000000,4.99
36400.000000,4.99
36500.000000,4.99
36600.000000,4.99
36700.000000,4.99
36800.000000,4.99
36900.000000,4.99
37000.000000,4.99
37100.000000,4.99
37200.000000,4.99
37300.000000,4.99
37400.000000,4.99
37500.000000,4.99
37600.000000,4.99
37700.000000,4.99
37800.000000,4.99
37900.000000,4.99
38000.000000,4.99
38100.000000,4.99
38200.000000,4.99
38300.000000,4.99
38400.000000,4.99
38500.000000,4.99
38600.000000,4.99
38700.000000,4.99
38800.000000,4.99
38900.000000,4.99
39000.000000,4.99
39100.000000,4.99
39200.000000,4.99
39300.000000,4.99
39400.000000,4.99
39500.000000,4.99
39600.000000,4.99
39700.000000,4.99
39800.000000,4.99
39900.000000,4.99
40000.000000,4.99
40100.000000,4.99
40200.000000,4.99
40300.000000,4.99
40400.000000,4.99
40500.000000,4.99
40600.000000,4.99
40700.000000,4.99
40800.000000,4.99
40900.000000,4.99
41000.000000,4.99
41100.000000,4.99
41200.000000,4.99
41300.000000,4.99
41400.000000,4.99
41500.000000,4.99
41600.000000,4.99
41700.000000,4.99
41800.000000,4.99
41900.000000,4.99
42000.000000,4.99
42100.000000,4.99
42200.000000,4.99
42300.000000,4.99
42400.000000,4.99
42500.000000,4.99
42600.000000,4.99
42700.000000,4.99
42800.000000,4.99
42900.000000,4.99
43000.000000,4.99
43100.000000,4.99
43200.000000,4.99
43300.000000,4.99
43400.000000,4.99
43500.000000,4.99
43600.000000,4.99
43700.000000,4.99
43800.000000,4.99
43900.000000,4.99
44000.000000,4.99
44100.000000,4.99
44200.000000,4.99
44300.000000,4.99
44400.000000,4.99
44500.000000,4.99
