Tempo Decorrido,E[W]
100.000000,0.74
200.000000,0.82
300.000000,0.98
400.000000,1.03
500.000000,1.00
600.000000,1.08
700.000000,1.14
800.000000,1.12
900.000000,1.12
1000.000000,1.18
1100.000000,1.20
1200.000000,1.23
1300.000000,1.21
1400.000000,1.18
1500.000000,1.19
1600.000000,1.19
1700.000000,1.16
1800.000000,1.15
1900.000000,1.14
2000.000000,1.12
2100.000000,1.12
2200.000000,1.11
2300.000000,1.11
2400.000000,1.09
2500.000000,1.11
2600.000000,1.11
2700.000000,1.10
2800.000000,1.09
2900.000000,1.09
3000.000000,1.08
3100.000000,1.10
3200.000000,1.09
3300.000000,1.11
3400.000000,1.11
3500.000000,1.12
3600.000000,1.12
3700.000000,1.11
3800.000000,1.11
3900.000000,1.09
4000.000000,1.09
4100.000000,1.11
4200.000000,1.12
4300.000000,1.12
4400.000000,1.13
4500.000000,1.14
4600.000000,1.13
4700.000000,1.12
4800.000000,1.10
4900.000000,1.10
5000.000000,1.11
5100.000000,1.11
5200.000000,1.13
5300.000000,1.12
5400.000000,1.12
5500.000000,1.11
5600.000000,1.11
5700.000000,1.11
5800.000000,1.10
5900.000000,1.10
6000.000000,1.10
6100.000000,1.09
6200.000000,1.09
6300.000000,1.09
6400.000000,1.09
6500.000000,1.09
6600.000000,1.09
6700.000000,1.09
6800.000000,1.08
6900.000000,1.08
7000.000000,1.08
7100.000000,1.07
7200.000000,1.07
7300.000000,1.06
7400.000000,1.07
7500.000000,1.07
7600.000000,1.07
7700.000000,1.06
7800.000000,1.06
7900.000000,1.07
8000.000000,1.07
8100.000000,1.07
8200.000000,1.08
8300.000000,1.09
8400.000000,1.09
8500.000000,1.09
8600.000000,1.09
8700.000000,1.09
8800.000000,1.09
8900.000000,1.09
9000.000000,1.10
9100.000000,1.10
9200.000000,1.09
9300.000000,1.09
9400.000000,1.10
9500.000000,1.10
9600.000000,1.11
9700.000000,1.10
9800.000000,1.10
9900.000000,1.10
10000.000000,1.10
10100.000000,1.11
10200.000000,1.11
10300.000000,1.10
10400.000000,1.10
10500.000000,1.11
10600.000000,1.11
10700.000000,1.11
10800.000000,1.11
10900.000000,1.11
11000.000000,1.11
11100.000000,1.13
11200.000000,1.14
11300.000000,1.14
11400.000000,1.15
11500.000000,1.14
11600.000000,1.14
11700.000000,1.14
11800.000000,1.14
11900.000000,1.14
12000.000000,1.14
12100.000000,1.13
12200.000000,1.13
12300.000000,1.14
12400.000000,1.14
12500.000000,1.13
12600.000000,1.13
12700.000000,1.13
12800.000000,1.13
12900.000000,1.12
13000.000000,1.12
13100.000000,1.12
13200.000000,1.13
13300.000000,1.13
13400.000000,1.13
13500.000000,1.12
13600.000000,1.13
13700.000000,1.12
13800.000000,1.12
13900.000000,1.12
14000.000000,1.12
14100.000000,1.13
14200.000000,1.13
14300.000000,1.13
14400.000000,1.13
14500.000000,1.13
14600.000000,1.13
14700.000000,1.12
14800.000000,1.12
14900.000000,1.12
15000.000000,1.13
15100.000000,1.13
15200.000000,1.13
15300.000000,1.13
15400.000000,1.13
15500.000000,1.13
15600.000000,1.13
15700.000000,1.13
15800.000000,1.12
15900.000000,1.12
16000.000000,1.13
16100.000000,1.13
16200.000000,1.13
16300.000000,1.13
16400.000000,1.13
16500.000000,1.13
16600.000000,1.13
16700.000000,1.13
16800.000000,1.13
16900.000000,1.13
17000.000000,1.13
17100.000000,1.13
17200.000000,1.13
17300.000000,1.13
17400.000000,1.12
17500.000000,1.13
17600.000000,1.13
17700.000000,1.13
17800.000000,1.13
17900.000000,1.13
18000.000000,1.13
18100.000000,1.13
18200.000000,1.13
18300.000000,1.14
18400.000000,1.14
18500.000000,1.13
18600.000000,1.13
18700.000000,1.13
18800.000000,1.13
18900.000000,1.13
19000.000000,1.13
19100.000000,1.13
19200.000000,1.13
19300.000000,1.13
19400.000000,1.13
19500.000000,1.14
19600.000000,1.14
19700.000000,1.13
19800.000000,1.13
19900.000000,1.13
20000.000000,1.13
20100.000000,1.13
20200.000000,1.13
20300.000000,1.13
20400.000000,1.13
20500.000000,1.13
20600.000000,1.12
20700.000000,1.12
20800.000000,1.12
20900.000000,1.12
21000.000000,1.14
21100.000000,1.13
21200.000000,1.13
21300.000000,1.13
21400.000000,1.13
21500.000000,1.14
21600.000000,1.13
21700.000000,1.13
21800.000000,1.13
21900.000000,1.13
22000.000000,1.13
22100.000000,1.14
22200.000000,1.14
22300.000000,1.14
22400.000000,1.14
22500.000000,1.14
22600.000000,1.14
