Tempo Decorrido,E[N]
100.000000,3.73
200.000000,4.06
300.000000,4.86
400.000000,5.14
500.000000,5.00
600.000000,5.50
700.000000,5.79
800.000000,5.67
900.000000,5.68
1000.000000,5.99
1100.000000,6.14
1200.000000,6.34
1300.000000,6.19
1400.000000,6.03
1500.000000,6.09
1600.000000,6.08
1700.000000,5.97
1800.000000,5.87
1900.000000,5.84
2000.000000,5.74
2100.000000,5.70
2200.000000,5.64
2300.000000,5.67
2400.000000,5.60
2500.000000,5.68
2600.000000,5.68
2700.000000,5.65
2800.000000,5.59
2900.000000,5.59
3000.000000,5.55
3100.000000,5.62
3200.000000,5.55
3300.000000,5.66
3400.000000,5.68
3500.000000,5.72
3600.000000,5.70
3700.000000,5.66
3800.000000,5.63
3900.000000,5.58
4000.000000,5.55
4100.000000,5.66
4200.000000,5.72
4300.000000,5.69
4400.000000,5.75
4500.000000,5.78
4600.000000,5.74
4700.000000,5.67
4800.000000,5.61
4900.000000,5.60
5000.000000,5.61
5100.000000,5.62
5200.000000,5.72
5300.000000,5.68
5400.000000,5.68
5500.000000,5.64
5600.000000,5.63
5700.000000,5.62
5800.000000,5.59
5900.000000,5.54
6000.000000,5.56
6100.000000,5.52
6200.000000,5.49
6300.000000,5.52
6400.000000,5.53
6500.000000,5.51
6600.000000,5.51
6700.000000,5.49
6800.000000,5.45
6900.000000,5.45
7000.000000,5.42
7100.000000,5.39
7200.000000,5.39
7300.000000,5.35
7400.000000,5.40
7500.000000,5.38
7600.000000,5.36
7700.000000,5.34
7800.000000,5.33
7900.000000,5.39
8000.000000,5.38
8100.000000,5.37
8200.000000,5.45
8300.000000,5.48
8400.000000,5.49
8500.000000,5.47
8600.000000,5.48
8700.000000,5.48
8800.000000,5.49
8900.000000,5.48
9000.000000,5.52
9100.000000,5.54
9200.000000,5.52
9300.000000,5.51
9400.000000,5.56
9500.000000,5.56
9600.000000,5.57
9700.000000,5.57
9800.000000,5.56
9900.000000,5.55
10000.000000,5.53
10100.000000,5.58
10200.000000,5.58
10300.000000,5.57
10400.000000,5.55
10500.000000,5.58
10600.000000,5.59
10700.000000,5.59
10800.000000,5.59
10900.000000,5.62
11000.000000,5.62
11100.000000,5.69
11200.000000,5.76
11300.000000,5.77
11400.000000,5.78
11500.000000,5.76
11600.000000,5.75
11700.000000,5.75
11800.000000,5.74
11900.000000,5.73
12000.000000,5.72
12100.000000,5.71
12200.000000,5.70
12300.000000,5.74
12400.000000,5.72
12500.000000,5.71
12600.000000,5.70
12700.000000,5.68
12800.000000,5.67
12900.000000,5.65
13000.000000,5.64
13100.000000,5.64
13200.000000,5.68
13300.000000,5.68
13400.000000,5.66
13500.000000,5.64
13600.000000,5.67
13700.000000,5.66
13800.000000,5.64
13900.000000,5.64
14000.000000,5.64
14100.000000,5.66
14200.000000,5.66
14300.000000,5.67
14400.000000,5.68
14500.000000,5.67
14600.000000,5.66
14700.000000,5.66
14800.000000,5.65
14900.000000,5.65
15000.000000,5.69
15100.000000,5.69
15200.000000,5.68
15300.000000,5.67
15400.000000,5.66
15500.000000,5.68
15600.000000,5.68
15700.000000,5.66
15800.000000,5.65
15900.000000,5.64
16000.000000,5.67
16100.000000,5.66
16200.000000,5.69
16300.000000,5.67
16400.000000,5.67
16500.000000,5.68
16600.000000,5.68
16700.000000,5.69
16800.000000,5.67
16900.000000,5.69
17000.000000,5.68
17100.000000,5.68
17200.000000,5.67
17300.000000,5.66
17400.000000,5.65
17500.000000,5.68
17600.000000,5.69
17700.000000,5.67
17800.000000,5.68
17900.000000,5.68
18000.000000,5.67
18100.000000,5.67
18200.000000,5.66
18300.000000,5.72
18400.000000,5.71
18500.000000,5.70
18600.000000,5.68
18700.000000,5.69
18800.000000,5.69
18900.000000,5.68
19000.000000,5.67
19100.000000,5.66
19200.000000,5.66
19300.000000,5.66
19400.000000,5.69
19500.000000,5.71
19600.000000,5.71
19700.000000,5.69
19800.000000,5.69
19900.000000,5.68
20000.000000,5.67
20100.000000,5.67
20200.000000,5.68
20300.000000,5.67
20400.000000,5.66
20500.000000,5.65
20600.000000,5.65
20700.000000,5.64
20800.000000,5.64
20900.000000,5.63
21000.000000,5.70
21100.000000,5.69
21200.000000,5.69
21300.000000,5.67
21400.000000,5.67
21500.000000,5.70
21600.000000,5.70
21700.000000,5.69
21800.000000,5.69
21900.000000,5.69
22000.000000,5.69
22100.000000,5.71
22200.000000,5.70
22300.000000,5.70
22400.000000,5.71
22500.000000,5.71
22600.000000,5.70
22700.000000,5.72
22800.000000,5.71
22900.000000,5.72
23000.000000,5.71
23100.000000,5.71
23200.000000,5.70
23300.000000,5.70
23400.000000,5.74
23500.000000,5.76
23600.000000,5.75
23700.000000,5.74
23800.000000,5.73
23900.000000,5.73
24000.000000,5.73
24100.000000,5.72
24200.000000,5.71
24300.000000,5.71
24400.000000,5.70
24500.000000,5.70
24600.000000,5.69
24700.000000,5.71
24800.000000,5.73
24900.000000,5.73
25000.000000,5.74
25100.000000,5.75
25200.000000,5.75
25300.000000,5.75
25400.000000,5.73
25500.000000,5.73
25600.000000,5.73
25700.000000,5.73
25800.000000,5.73
25900.000000,5.75
26000.000000,5.77
26100.000000,5.77
26200.000000,5.77
26300.000000,5.77
26400.000000,5.77
26500.000000,5.77
26600.000000,5.77
26700.000000,5.77
26800.000000,5.76
26900.000000,5.75
27000.000000,5.74
27100.000000,5.73
27200.000000,5.73
27300.000000,5.73
27400.000000,5.73
27500.000000,5.72
