Tempo Decorrido,Taxa Media Chegada,Taxa Saída,E[N],E[W],Lambda, Erro de Little,Ocupacao
100.000000,5.00,5.88,2.861495,0.582789,4.910000, -0.000000,0.780508
200.000000,5.00,5.88,3.067174,0.621514,4.935000, 0.000000,0.798699
300.000000,5.00,5.88,5.868473,1.161307,5.053333, 0.000000,0.840867
400.000000,5.00,5.88,5.554563,1.096656,5.065000, -0.000000,0.845000
500.000000,5.00,5.88,6.038495,1.177554,5.128000, -0.000000,0.859252
600.000000,5.00,5.88,5.829379,1.143763,5.096667, -0.000000,0.853620
700.000000,5.00,5.88,5.982307,1.179942,5.070000, -0.000000,0.857754
800.000000,5.00,5.88,6.391836,1.254223,5.096250, 0.000000,0.869463
900.000000,5.00,5.88,6.263612,1.239774,5.052222, 0.000000,0.863201
1000.000000,5.00,5.88,6.034222,1.193006,5.058000, 0.000000,0.862488
1100.000000,5.00,5.88,5.786697,1.144438,5.056364, 0.000000,0.856016
1200.000000,5.00,5.88,5.729308,1.137520,5.036667, -0.000000,0.856073
1300.000000,5.00,5.88,5.678087,1.127465,5.036154, 0.000000,0.855302
1400.000000,5.00,5.88,5.671915,1.126817,5.033571, -0.000000,0.855090
1500.000000,5.00,5.88,5.514318,1.098178,5.021333, 0.000000,0.851418
1600.000000,5.00,5.88,5.502346,1.095403,5.023125, 0.000000,0.854495
1700.000000,5.00,5.88,5.814902,1.155639,5.031765, 0.000000,0.858405
1800.000000,5.00,5.88,5.791628,1.146353,5.052222, 0.000000,0.859707
1900.000000,5.00,5.88,5.672012,1.127991,5.028421, 0.000000,0.854640
2000.000000,5.00,5.88,5.567265,1.106812,5.030000, -0.000000,0.854458
2100.000000,5.00,5.88,5.618226,1.115676,5.035714, -0.000000,0.856443
2200.000000,5.00,5.88,5.552446,1.105464,5.022727, -0.000000,0.852944
2300.000000,5.00,5.88,5.627923,1.117616,5.035652, -0.000000,0.853693
2400.000000,5.00,5.88,5.589023,1.112428,5.024167, -0.000000,0.853283
2500.000000,5.00,5.88,5.516057,1.102858,5.001600, -0.000000,0.850735
2600.000000,5.00,5.88,5.561152,1.109499,5.012308, -0.000000,0.852942
2700.000000,5.00,5.88,5.617230,1.118392,5.022593, -0.000000,0.854491
2800.000000,5.00,5.88,5.771609,1.149069,5.022857, -0.000000,0.857726
2900.000000,5.00,5.88,5.687954,1.133526,5.017931, 0.000000,0.857353
3000.000000,5.00,5.88,5.811008,1.160654,5.006667, -0.000000,0.858345
3100.000000,5.00,5.88,5.751479,1.150815,4.997742, 0.000000,0.856358
3200.000000,5.00,5.88,5.846189,1.167778,5.006250, 0.000000,0.858559
3300.000000,5.00,5.88,5.913047,1.180535,5.008788, 0.000000,0.860267
3400.000000,5.00,5.88,5.981098,1.194182,5.008529, 0.000000,0.860267
3500.000000,5.00,5.88,5.885431,1.177019,5.000286, 0.000000,0.857650
3600.000000,5.00,5.88,5.902227,1.178939,5.006389, 0.000000,0.858838
3700.000000,5.00,5.88,5.955071,1.188124,5.012162, 0.000000,0.860181
3800.000000,5.00,5.88,5.917404,1.178210,5.022368, 0.000000,0.860049
3900.000000,5.00,5.88,5.859549,1.165039,5.029487, 0.000000,0.859488
4000.000000,5.00,5.88,5.849749,1.163956,5.025750, 0.000000,0.859097
4100.000000,5.00,5.88,5.914022,1.177348,5.023171, -0.000000,0.858306
4200.000000,5.00,5.88,5.940786,1.179898,5.035000, -0.000000,0.859560
4300.000000,5.00,5.88,5.894895,1.169784,5.039302, -0.000000,0.859071
4400.000000,5.00,5.88,5.889476,1.168547,5.040000, -0.000000,0.860585
4500.000000,5.00,5.88,5.844944,1.161042,5.034222, -0.000000,0.859998
4600.000000,5.00,5.88,5.857984,1.163503,5.034783, -0.000000,0.861643
4700.000000,5.00,5.88,5.943027,1.179570,5.038298, -0.000000,0.861918
4800.000000,5.00,5.88,5.956368,1.184365,5.029167, 0.000000,0.862755
4900.000000,5.00,5.88,5.910275,1.177250,5.020408, -0.000000,0.860987
5000.000000,5.00,5.88,5.903783,1.177131,5.015400, -0.000000,0.860678
5100.000000,5.00,5.88,5.909475,1.178613,5.013922, -0.000000,0.861366
5200.000000,5.00,5.88,5.887184,1.174050,5.014423, 0.000000,0.861760
5300.000000,5.00,5.88,5.887336,1.173217,5.018113, 0.000000,0.862232
5400.000000,5.00,5.88,6.000804,1.195291,5.020370, 0.000000,0.863006
5500.000000,5.00,5.88,5.985487,1.193755,5.014000, 0.000000,0.863486
5600.000000,5.00,5.88,5.929676,1.184243,5.007143, -0.000000,0.861980
5700.000000,5.00,5.88,5.907623,1.180241,5.005439, -0.000000,0.861620
5800.000000,5.00,5.88,5.868776,1.173877,4.999483, 0.000000,0.860756
5900.000000,5.00,5.88,5.826705,1.165381,4.999831, 0.000000,0.859936
6000.000000,5.00,5.88,5.801873,1.160645,4.998833, 0.000000,0.859456
6100.000000,5.00,5.88,5.777182,1.154452,5.004262, 0.000000,0.859390
6200.000000,5.00,5.88,5.778276,1.153571,5.009032, 0.000000,0.859546
6300.000000,5.00,5.88,5.735814,1.145744,5.006190, 0.000000,0.858045
6400.000000,5.00,5.88,5.732786,1.144447,5.009219, 0.000000,0.857639
6500.000000,5.00,5.88,5.810817,1.157995,5.018000, 0.000000,0.859040
6600.000000,5.00,5.88,5.770964,1.149664,5.019697, 0.000000,0.858894
6700.000000,5.00,5.88,5.841534,1.163687,5.019851, 0.000000,0.860197
6800.000000,5.00,5.88,5.878514,1.170470,5.022353, 0.000000,0.860345
6900.000000,5.00,5.88,5.868119,1.169488,5.017681, 0.000000,0.860283
7000.000000,5.00,5.88,5.860889,1.167907,5.018286, 0.000000,0.859466
7100.000000,5.00,5.88,5.849213,1.165182,5.020000, 0.000000,0.859048
7200.000000,5.00,5.88,5.836544,1.164366,5.012639, 0.000000,0.857645
7300.000000,5.00,5.88,5.800487,1.158986,5.004795, 0.000000,0.856396
7400.000000,5.00,5.88,5.767523,1.152072,5.006216, 0.000000,0.855829
7500.000000,5.00,5.88,5.761327,1.150762,5.006533, 0.000000,0.855881
7600.000000,5.00,5.88,5.739798,1.145578,5.010395, 0.000000,0.856060
7700.000000,5.00,5.88,5.736705,1.144428,5.012727, 0.000000,0.856114
7800.000000,5.00,5.88,5.752282,1.146312,5.018077, 0.000000,0.856735
7900.000000,5.00,5.88,5.782182,1.151800,5.020127, 0.000000,0.857175
8000.000000,5.00,5.88,5.847245,1.164500,5.021250, 0.000000,0.857670
8100.000000,5.00,5.88,5.807604,1.157035,5.019383, 0.000000,0.856431
8200.000000,5.00,5.88,5.903170,1.174817,5.024756, 0.000000,0.857261
8300.000000,5.00,5.88,5.905335,1.174867,5.026386, 0.000000,0.857547
8400.000000,5.00,5.88,5.890966,1.173499,5.020000, 0.000000,0.856571
8500.000000,5.00,5.88,5.859242,1.167754,5.017529, 0.000000,0.856229
8600.000000,5.00,5.88,5.866083,1.168055,5.022093, 0.000000,0.856864
8700.000000,5.00,5.88,5.838460,1.163706,5.017126, 0.000000,0.856213
8800.000000,5.00,5.88,5.852045,1.165218,5.022273, 0.000000,0.856870
8900.000000,5.00,5.88,5.900415,1.174672,5.023034, 0.000000,0.858140
9000.000000,5.00,5.88,5.891907,1.172934,5.023222, 0.000000,0.858379
9100.000000,5.00,5.88,5.896928,1.173839,5.023626, 0.000000,0.859140
9200.000000,5.00,5.88,5.895168,1.173930,5.021739, 0.000000,0.859099
9300.000000,5.00,5.88,5.923164,1.178525,5.025914, 0.000000,0.859661
9400.000000,5.00,5.88,5.904907,1.175280,5.024255, 0.000000,0.859337
9500.000000,5.00,5.88,5.878326,1.171129,5.019368, 0.000000,0.858398
9600.000000,5.00,5.88,5.893339,1.173388,5.022500, 0.000000,0.858864
9700.000000,5.00,5.88,5.907501,1.175104,5.027216, 0.000000,0.859036
9800.000000,5.00,5.88,5.914022,1.176132,5.028367, 0.000000,0.859555
9900.000000,5.00,5.88,5.901244,1.173988,5.026667, 0.000000,0.859437
10000.000000,5.00,5.88,5.905573,1.174841,5.026700, 0.000000,0.859266
10100.000000,5.00,5.88,5.873852,1.168592,5.026436, 0.000000,0.858896
10200.000000,5.00,5.88,5.856697,1.164989,5.027255, 0.000000,0.859373
10300.000000,5.00,5.88,5.841004,1.162018,5.026602, 0.000000,0.859355
10400.000000,5.00,5.88,5.852654,1.164106,5.027596, 0.000000,0.859251
10500.000000,5.00,5.88,5.902237,1.173740,5.028571, 0.000000,0.859711
10600.000000,5.00,5.88,5.893908,1.173093,5.024245, 0.000000,0.859227
10700.000000,5.00,5.88,5.876632,1.170273,5.021589, 0.000000,0.858662
10800.000000,5.00,5.88,5.875052,1.169660,5.022870, 0.000000,0.858796
10900.000000,5.00,5.88,5.852084,1.165221,5.022294, 0.000000,0.858681
11000.000000,5.00,5.88,5.844115,1.163429,5.023182, 0.000000,0.858448
11100.000000,5.00,5.88,5.831529,1.161242,5.021802, 0.000000,0.858167
11200.000000,5.00,5.88,5.815370,1.158172,5.021161, 0.000000,0.857252
11300.000000,5.00,5.88,5.902777,1.175728,5.020531, 0.000000,0.857605
11400.000000,5.00,5.88,5.892289,1.173353,5.021754, 0.000000,0.857720
11500.000000,5.00,5.88,5.874606,1.170909,5.017130, 0.000000,0.857078
11600.000000,5.00,5.88,5.878925,1.171785,5.017069, 0.000000,0.857887
11700.000000,5.00,5.88,5.928700,1.181237,5.019060, 0.000000,0.858774
11800.000000,5.00,5.88,5.906401,1.176753,5.019237, 0.000000,0.858437
11900.000000,5.00,5.88,5.892405,1.174395,5.017395, 0.000000,0.858155
12000.000000,5.00,5.88,5.905586,1.176177,5.021000, 0.000000,0.858636
12100.000000,5.00,5.88,5.911936,1.177366,5.021322, 0.000000,0.858720
12200.000000,5.00,5.88,5.893648,1.174053,5.019918, 0.000000,0.858487
12300.000000,5.00,5.88,5.890808,1.173715,5.018943, 0.000000,0.858657
12400.000000,5.00,5.88,5.879415,1.171744,5.017661, 0.000000,0.858266
12500.000000,5.00,5.88,5.877746,1.172155,5.014480, 0.000000,0.858412
12600.000000,5.00,5.88,5.856156,1.167931,5.014127, 0.000000,0.858016
12700.000000,5.00,5.88,5.851634,1.167110,5.013780, 0.000000,0.857923
12800.000000,5.00,5.88,5.843074,1.165029,5.015391, 0.000000,0.857818
12900.000000,5.00,5.88,5.827513,1.162241,5.014031, 0.000000,0.857713
13000.000000,5.00,5.88,5.815675,1.159958,5.013692, 0.000000,0.857439
13100.000000,5.00,5.88,5.803744,1.158255,5.010763, 0.000000,0.856942
13200.000000,5.00,5.88,5.786789,1.154664,5.011667, 0.000000,0.856926
13300.000000,5.00,5.88,5.777296,1.152046,5.014812, 0.000000,0.857048
13400.000000,5.00,5.88,5.777676,1.151616,5.017015, 0.000000,0.857234
13500.000000,5.00,5.88,5.765091,1.149137,5.016889, 0.000000,0.857361
13600.000000,5.00,5.88,5.767548,1.149571,5.017132, 0.000000,0.857334
13700.000000,5.00,5.88,5.757110,1.147485,5.017153, 0.000000,0.857211
13800.000000,5.00,5.88,5.763667,1.149302,5.014928, 0.000000,0.857302
13900.000000,5.00,5.88,5.762231,1.148711,5.016259, 0.000000,0.857169
14000.000000,5.00,5.88,5.750704,1.146701,5.015000, 0.000000,0.857082
14100.000000,5.00,5.88,5.759049,1.147724,5.017801, 0.000000,0.857484
14200.000000,5.00,5.88,5.742802,1.144836,5.016268, 0.000000,0.857104
14300.000000,5.00,5.88,5.770367,1.150309,5.016364, -0.000000,0.857883
14400.000000,5.00,5.88,5.772034,1.150237,5.018125, -0.000000,0.858072
14500.000000,5.00,5.88,5.782793,1.151793,5.020690, -0.000000,0.858479
14600.000000,5.00,5.88,5.761586,1.147805,5.019658, -0.000000,0.857763
14700.000000,5.00,5.88,5.763576,1.147640,5.022109, 0.000000,0.857710
14800.000000,5.00,5.88,5.743619,1.143855,5.021284, 0.000000,0.857057
14900.000000,5.00,5.88,5.764965,1.147602,5.023490, 0.000000,0.857474
15000.000000,5.00,5.88,5.778019,1.150358,5.022800, -0.000000,0.857664
15100.000000,5.00,5.88,5.783095,1.151707,5.021325, -0.000000,0.857715
15200.000000,5.00,5.88,5.768138,1.149287,5.018882, -0.000000,0.857228
15300.000000,5.00,5.88,5.758955,1.147128,5.020327, 0.000000,0.857345
15400.000000,5.00,5.88,5.763769,1.148310,5.019351, 0.000000,0.857661
15500.000000,5.00,5.88,5.754896,1.146202,5.020839, -0.000000,0.857578
15600.000000,5.00,5.88,5.753853,1.146157,5.020128, 0.000000,0.857320
15700.000000,5.00,5.88,5.736162,1.143039,5.018344, 0.000000,0.857137
15800.000000,5.00,5.88,5.735756,1.143258,5.017025, 0.000000,0.856979
15900.000000,5.00,5.88,5.754242,1.146881,5.017296, -0.000000,0.857144
16000.000000,5.00,5.88,5.755769,1.147325,5.016687, -0.000000,0.857066
16100.000000,5.00,5.88,5.773563,1.150653,5.017640, -0.000000,0.857270
16200.000000,5.00,5.88,5.794052,1.154080,5.020494, 0.000000,0.857686
16300.000000,5.00,5.88,5.791512,1.153434,5.021104, 0.000000,0.857790
16400.000000,5.00,5.88,5.794331,1.154025,5.020976, -0.000000,0.858002
16500.000000,5.00,5.88,5.793253,1.153895,5.020606, -0.000000,0.858024
16600.000000,5.00,5.88,5.801248,1.155974,5.018494, -0.000000,0.858022
16700.000000,5.00,5.88,5.808473,1.157190,5.019461, -0.000000,0.858342
16800.000000,5.00,5.88,5.808497,1.157112,5.019821, -0.000000,0.858471
16900.000000,5.00,5.88,5.803271,1.155976,5.020237, -0.000000,0.858596
17000.000000,5.00,5.88,5.845801,1.164557,5.019765, -0.000000,0.859112
17100.000000,5.00,5.88,5.840569,1.163826,5.018421, -0.000000,0.858970
17200.000000,5.00,5.88,5.839858,1.163655,5.018547, -0.000000,0.859166
17300.000000,5.00,5.88,5.828501,1.161725,5.017110, -0.000000,0.859152
17400.000000,5.00,5.88,5.922699,1.180402,5.017529, -0.000000,0.859309
17500.000000,5.00,5.88,5.953054,1.186881,5.015714, -0.000000,0.859264
17600.000000,5.00,5.88,5.945942,1.185712,5.014659, -0.000000,0.859174
17700.000000,5.00,5.88,5.937879,1.184538,5.012825, -0.000000,0.859246
17800.000000,5.00,5.88,5.927406,1.182346,5.013258, -0.000000,0.859023
17900.000000,5.00,5.88,5.924302,1.181757,5.013128, -0.000000,0.859018
18000.000000,5.00,5.88,5.918300,1.180316,5.014167, -0.000000,0.859130
18100.000000,5.00,5.88,5.924756,1.181986,5.012541, -0.000000,0.859173
18200.000000,5.00,5.88,5.924734,1.181752,5.013516, -0.000000,0.859263
18300.000000,5.00,5.88,5.923104,1.181805,5.011913, -0.000000,0.859078
18400.000000,5.00,5.88,5.926629,1.182780,5.010761, -0.000000,0.858901
18500.000000,5.00,5.88,5.934303,1.183802,5.012919, -0.000000,0.859148
18600.000000,5.00,5.88,5.942941,1.185491,5.013065, -0.000000,0.859144
18700.000000,5.00,5.88,5.933186,1.183826,5.011872, -0.000000,0.858750
18800.000000,5.00,5.88,5.913706,1.180268,5.010479, -0.000000,0.858130
18900.000000,5.00,5.88,5.904248,1.178455,5.010159, -0.000000,0.857939
19000.000000,5.00,5.88,5.922420,1.181809,5.011316, -0.000000,0.858443
19100.000000,5.00,5.88,5.906226,1.178764,5.010524, -0.000000,0.858094
19200.000000,5.00,5.88,5.899084,1.177266,5.010833, -0.000000,0.857972
19300.000000,5.00,5.88,5.891131,1.175899,5.009896, -0.000000,0.857946
19400.000000,5.00,5.88,5.880716,1.174267,5.007990, -0.000000,0.857572
19500.000000,5.00,5.88,5.871603,1.172385,5.008256, -0.000000,0.857414
19600.000000,5.00,5.88,5.863323,1.170646,5.008622, -0.000000,0.857410
19700.000000,5.00,5.88,5.857703,1.169321,5.009492, -0.000000,0.857405
19800.000000,5.00,5.88,5.903005,1.178078,5.010707, -0.000000,0.857751
19900.000000,5.00,5.88,5.889774,1.175509,5.010402, -0.000000,0.857323
20000.000000,5.00,5.88,5.883653,1.174194,5.010800, -0.000000,0.857194
20100.000000,5.00,5.88,5.865540,1.171034,5.008856, -0.000000,0.856428
20200.000000,5.00,5.88,5.852463,1.168122,5.010149, -0.000000,0.856207
20300.000000,5.00,5.88,5.838539,1.165698,5.008621, -0.000000,0.855855
20400.000000,5.00,5.88,5.848576,1.167620,5.008971, -0.000000,0.856182
20500.000000,5.00,5.88,5.869485,1.171440,5.010488, -0.000000,0.856358
20600.000000,5.00,5.88,5.887537,1.175043,5.010485, -0.000000,0.856450
20700.000000,5.00,5.88,5.885456,1.174934,5.009179, -0.000000,0.856539
20800.000000,5.00,5.88,5.877460,1.173551,5.008269, -0.000000,0.856429
20900.000000,5.00,5.88,5.871354,1.172845,5.006077, -0.000000,0.856320
21000.000000,5.00,5.88,5.857719,1.170351,5.005095, -0.000000,0.856032
21100.000000,5.00,5.88,5.850202,1.169021,5.004360, -0.000000,0.855836
21200.000000,5.00,5.88,5.847948,1.168774,5.003491, -0.000000,0.855778
21300.000000,5.00,5.88,5.857337,1.170434,5.004413, -0.000000,0.855886
21400.000000,5.00,5.88,5.854507,1.169535,5.005841, -0.000000,0.855985
21500.000000,5.00,5.88,5.845773,1.167808,5.005767, -0.000000,0.855796
21600.000000,5.00,5.88,5.829913,1.164678,5.005602, -0.000000,0.855505
21700.000000,5.00,5.88,5.857733,1.169919,5.006959, -0.000000,0.855873
21800.000000,5.00,5.88,5.872007,1.172701,5.007248, -0.000000,0.856171
21900.000000,5.00,5.88,5.871656,1.172607,5.007352, -0.000000,0.856349
22000.000000,5.00,5.88,5.859790,1.170224,5.007409, 0.000000,0.856129
22100.000000,5.00,5.88,5.853277,1.169396,5.005385, 0.000000,0.856071
22200.000000,5.00,5.88,5.846157,1.168032,5.005135, 0.000000,0.855917
22300.000000,5.00,5.88,5.844924,1.167644,5.005740, 0.000000,0.856051
22400.000000,5.00,5.88,5.855908,1.169584,5.006830, 0.000000,0.856485
22500.000000,5.00,5.88,5.845542,1.167914,5.005111, 0.000000,0.856232
22600.000000,5.00,5.88,5.849370,1.168509,5.005841, 0.000000,0.856340
22700.000000,5.00,5.88,5.842228,1.167581,5.003700, 0.000000,0.856127
22800.000000,5.00,5.88,5.834385,1.165711,5.005000, 0.000000,0.856019
22900.000000,5.00,5.88,5.827907,1.164564,5.004367, 0.000000,0.855831
23000.000000,5.00,5.88,5.835643,1.165709,5.006087, 0.000000,0.856006
23100.000000,5.00,5.88,5.829329,1.164716,5.004935, 0.000000,0.855822
23200.000000,5.00,5.88,5.821154,1.163058,5.005043, 0.000000,0.855560
23300.000000,5.00,5.88,5.807703,1.160236,5.005622, 0.000000,0.855098
23400.000000,5.00,5.88,5.804986,1.159857,5.004915, 0.000000,0.854784
23500.000000,5.00,5.88,5.796459,1.158139,5.004979, 0.000000,0.854796
23600.000000,5.00,5.88,5.813251,1.161322,5.005720, 0.000000,0.854805
23700.000000,5.00,5.88,5.809756,1.160394,5.006709, 0.000000,0.854893
23800.000000,5.00,5.88,5.815363,1.161452,5.006975, 0.000000,0.854946
23900.000000,5.00,5.88,5.805928,1.159652,5.006611, 0.000000,0.854567
24000.000000,5.00,5.88,5.799405,1.158645,5.005333, 0.000000,0.854536
24100.000000,5.00,5.88,5.802352,1.159393,5.004647, 0.000000,0.854585
24200.000000,5.00,5.88,5.795660,1.157926,5.005207, 0.000000,0.854554
24300.000000,5.00,5.88,5.804306,1.159506,5.005844, 0.000000,0.854669
24400.000000,5.00,5.88,5.810136,1.160686,5.005779, 0.000000,0.854697
24500.000000,5.00,5.88,5.818865,1.162141,5.007020, 0.000000,0.855097
24600.000000,5.00,5.88,5.810297,1.160616,5.006220, 0.000000,0.854967
24700.000000,5.00,5.88,5.809151,1.160440,5.005992, 0.000000,0.855054
